,Time,Command,Righthip,Lefthip,Pitch
0,0,0.0,0.4285714285714306,-0.31746031746031633,-3.0625
1,25,0.9995833854135666,0.4285714285714306,-0.31746031746031633,-3.0625
2,48,1.9170522386563407,0.0,0.529100529100532,-3.0625
3,71,2.830465324604755,0.2142857142857153,0.10582010582010781,-3.0625
4,92,3.6592701093594915,1.0714285714285694,0.529100529100532,-3.0625
5,112,4.442629132679408,1.0714285714285694,0.10582010582010781,-3.0625
6,132,5.218880897097375,1.5,0.529100529100532,-3.0625
7,153,6.024937437125594,1.9285714285714306,0.7407407407407405,-3.0625
8,172,6.745108657074122,1.9285714285714306,1.1640211640211646,
9,186,7.269587243648966,1.9285714285714306,0.952380952380949,-3.0625
10,202,7.861989222348694,3.2142857142857153,0.952380952380949,
11,216,8.373757979505589,2.7857142857142847,0.952380952380949,
12,229,8.843102305385743,2.357142857142854,1.1640211640211646,-3.0625
13,244,9.377205647578375,2.142857142857146,1.5873015873015888,-3.0625
14,261,9.972295625721111,2.7857142857142847,1.3756613756613731,
15,274,10.4196227129826,3.0,1.3756613756613731,
16,288,10.893474218576502,3.642857142857146,2.433862433862437,-3.0625
17,305,11.457349202009626,4.071428571428569,3.2804232804232782,-3.0625
18,322,12.007980765621744,4.928571428571431,4.338624338624342,
19,335,12.419719740731194,5.142857142857139,5.6084656084656075,
20,349,12.853734308959329,6.0,5.6084656084656075,-3.0625
21,364,13.307559069074967,5.785714285714292,6.24338624338624,
22,377,13.691201091826901,6.428571428571431,6.878306878306873,-3.0625
23,394,14.178883240373848,6.642857142857139,7.936507936507937,
24,407,14.540787329152723,7.714285714285708,8.359788359788354,
25,421,14.919531108936964,8.142857142857139,8.783068783068785,
26,434,15.260755122668584,9.0,9.629629629629633,
27,447,15.591663447074087,9.214285714285708,10.264550264550266,-3.125
28,464,16.008453409539342,10.07142857142857,10.899470899470899,
29,477,16.314714472545052,10.5,11.111111111111114,-3.125
30,494,16.698538551190875,10.285714285714292,11.746031746031747,
31,507,16.97905014369224,10.92857142857143,11.957671957671963,-3.125
32,524,17.32852698631577,11.142857142857139,12.169312169312164,
33,537,17.582279569495945,11.142857142857139,12.592592592592595,-3.125
34,553,17.87825757552404,11.57142857142857,13.015873015873012,
35,567,18.122231775432883,11.57142857142857,13.439153439153444,
36,580,18.336062175435337,11.785714285714292,14.074074074074076,-3.0625
37,595,18.567379344983333,12.214285714285708,14.285714285714292,
38,609,18.76820374173086,12.42857142857143,14.708994708994709,-3.0625
39,625,18.979692387111726,12.857142857142861,14.920634920634924,-3.0625
40,642,19.183101079055923,12.857142857142861,15.555555555555557,
41,655,19.32369903225468,13.07142857142857,15.767195767195773,
42,668,19.451234900763275,13.285714285714292,15.978835978835974,
43,681,19.565622475191226,13.5,16.613756613756607,
44,694,19.666784433894147,13.5,17.037037037037038,
45,707,19.754652395240253,13.285714285714292,17.037037037037038,-2.6875
46,724,19.849400004684078,13.285714285714292,17.248677248677254,
47,737,19.90637784507205,13.714285714285708,17.248677248677254,-2.4375
48,754,19.960579170236834,13.714285714285708,18.095238095238102,
49,767,19.986461830969965,13.5,17.67195767195767,
50,782,19.9995381011989,13.285714285714292,17.460317460317455,
51,796,19.99550421087054,13.5,17.883597883597886,
52,809,19.977722269399056,13.714285714285708,18.095238095238102,-1.625
53,826,19.93409586104815,13.285714285714292,18.51851851851852,
54,839,19.885183749429967,13.285714285714292,18.51851851851852,-1.3125
55,856,19.800946292366223,13.5,18.51851851851852,
56,869,19.721080041384425,13.92857142857143,18.51851851851852,
57,882,19.62788309128275,13.285714285714292,18.941798941798936,
58,895,19.521418439650486,13.5,18.730158730158735,
59,908,19.401758052537904,13.92857142857143,18.730158730158735,-0.625
60,925,19.225504059505997,13.5,18.51851851851852,
61,938,19.07571542221151,13.92857142857143,18.730158730158735,
62,951,18.913032327703913,13.714285714285708,18.730158730158735,0.0
63,967,18.69526902583495,13.714285714285708,18.730158730158735,
64,980,18.504230415763367,13.5,18.730158730158735,
65,993,18.300683650580613,13.92857142857143,18.730158730158735,
66,1006,18.084766320148795,13.5,18.730158730158735,
67,1020,17.838573019067592,13.5,18.51851851851852,
68,1033,17.597438807323233,13.92857142857143,18.51851851851852,
69,1047,17.32445774760119,13.714285714285708,18.095238095238102,
70,1060,17.058809631057525,13.92857142857143,17.883597883597886,1.125
71,1077,16.694053415873086,13.714285714285708,18.095238095238102,
72,1090,16.402078952427484,13.92857142857143,17.883597883597886,1.4375
73,1107,16.003568519262117,14.357142857142861,17.248677248677254,
74,1120,15.686318501688397,13.285714285714292,17.037037037037038,
75,1133,15.358465130150005,13.92857142857143,16.825396825396822,
76,1146,15.020230021041282,13.92857142857143,15.767195767195773,
77,1159,14.671841808415827,13.92857142857143,15.555555555555557,2.3125
78,1176,14.201330092560333,13.92857142857143,14.920634920634924,
79,1189,13.830421563997016,13.92857142857143,14.285714285714292,
80,1202,13.450164197125465,14.142857142857139,14.074074074074076,2.9375
81,1218,12.969701750444482,13.92857142857143,14.074074074074076,
82,1231,12.569524608068246,13.92857142857143,14.497354497354493,
83,1244,12.160850945710433,13.92857142857143,14.074074074074076,
84,1257,11.743957011204301,13.92857142857143,14.285714285714292,3.4375
85,1277,11.087181012811659,14.142857142857139,14.708994708994709,
86,1290,10.650698151112422,13.714285714285708,14.708994708994709,
87,1303,10.20701582304669,13.5,14.497354497354493,3.9375
88,1318,9.68652061243435,14.142857142857139,14.497354497354493,4.0625
89,1333,9.157308187091356,13.5,14.708994708994709,
90,1347,8.655931754492562,13.714285714285708,14.497354497354493,
91,1360,8.184283393440346,13.714285714285708,13.86243386243386,4.5
92,1376,7.596232504114805,13.285714285714292,13.227513227513228,
93,1389,7.112686113956341,12.642857142857139,12.80423280423281,
94,1403,6.586576405264454,11.785714285714292,12.169312169312164,4.875
95,1419,5.9790097036786864,11.142857142857139,11.746031746031747,
96,1432,5.480825133109652,10.714285714285708,11.322751322751316,
97,1445,4.978935733463051,10.07142857142857,10.687830687830683,
98,1458,4.473680762860878,9.42857142857143,10.476190476190482,
99,1471,3.9654017544228926,9.42857142857143,9.629629629629633,
100,1484,3.4544422854033083,8.142857142857139,8.994708994709,
101,1497,2.941147744945587,7.071428571428569,8.148148148148152,
102,1510,2.425865100612595,6.642857142857139,7.724867724867721,6.1875
103,1527,1.7496137568013135,6.0,7.089947089947088,
104,1540,1.231074348598263,6.214285714285708,6.455026455026456,
105,1553,0.711702781015465,5.785714285714292,5.6084656084656075,6.8125
106,1569,0.07185291722611968,5.357142857142861,5.6084656084656075,
107,1582,-0.44810942752547966,5.357142857142861,4.550264550264544,
108,1595,-0.9677688673682829,5.142857142857139,4.550264550264544,7.25
